,0
2473,邵
2474,邺
2475,邻
2476,郊
2477,郎
2478,郎中
2479,郑
2480,郡
2481,郢
2482,部
2483,郭
2484,都
2485,都门
2486,酌
2487,酒
2488,酒家
2489,酒醒
2490,酬
2491,醉
2492,醉中
2493,醉乡
2494,醉后
2495,醒
2496,采
2497,采莲
2498,里
2499,重
2500,重到
2501,重叠
2502,重来
2503,重重
2504,重门
2505,重阳
2506,野
2507,野人
2508,野客
2509,野寺
2510,野田
2511,野花
2512,量
2513,金
2514,金殿
2515,金谷
2516,金钱
2517,金陵
2518,钓
2519,钓鱼
2520,钗
2521,钟
2522,钩
2523,钱
2524,铁
2525,铉
2526,铜
2527,银
2528,铺
2529,销
2530,锁
2531,锄
2532,错
2533,锦
2534,镇
2535,镜
2536,镜中
2537,长
2538,长乐
2539,长亭
2540,长卿
2541,长安
2542,长松
2543,长江
2544,长沙
2545,长生
2546,长门
2547,閒
2548,閒事
2549,閒人
2550,閒吟
2551,閒坐
2552,閒居
2553,闇
2554,门
2555,门前
2556,门外
2557,闭
2558,问
2559,闲
2560,间
2561,闺
2562,闻
2563,闻君
2564,闻笛
2565,闻说
2566,阁
2567,阑
2568,阑干
2569,阔
2570,阙
2571,阳
2572,阳台
2573,阴
2574,阶
2575,阶下
2576,阶前
2577,阻
2578,阻风
2579,阿
2580,陂
2581,际
2582,陆
2583,陇
2584,陇头
2585,陈
2586,陈陶
2587,陌
2588,陌上
2589,降
2590,院
2591,除
2592,险
2593,陪
2594,陵
2595,陶
2596,隋
2597,隋家
2598,随
2599,随风
2600,隐
2601,隔
2602,障
2603,难
2604,雀
2605,雁
2606,雄
2607,集
2608,雍
2609,雕
2610,雨
2611,雨中
2612,雪
2613,雪中
2614,零落
2615,雷
2616,雾
2617,霁
2618,霏霏
2619,霑
2620,霓裳
2621,霜
2622,霞
2623,露
2624,露滴
2625,霸
2626,青
2627,青云
2628,青冥
2629,青天
2630,青娥
2631,青山
2632,青春
2633,青楼
2634,青苔
2635,青草
2636,青门
2637,青青
2638,青龙
2639,静
2640,非
2641,非熊
2642,面
2643,鞭
2644,韦
2645,韩
2646,音
2647,韵
2648,顶
2649,项
2650,须
2651,须知
2652,顾
2653,领
2654,频
2655,题
2656,题作
2657,题诗
2658,颜
2659,颜色
2660,风
2661,风光
2662,风吹
2663,风景
2664,风月
2665,风流
2666,风烟
2667,风雨
2668,风雪
2669,飖
2670,飘
2671,飞
2672,飞上
2673,飞去
2674,飞来
2675,食
2676,饥
2677,饭
2678,饮
2679,饯
2680,饶
2681,馀
2682,馆
2683,首
2684,香
2685,香风
2686,马
2687,马上
2688,马嘶
2689,马嵬
2690,马蹄
2691,驰
2692,驱
2693,驻
2694,驾
2695,驿
2696,骄
2697,骊山
2698,骑
2699,骑马
2700,骢马
2701,骨
2702,高
2703,高僧
2704,高卧
2705,高台
2706,高处
2707,高情
2708,高树
2709,高楼
2710,高阁
2711,鬓
2712,鬼
2713,魂
2714,魏
2715,鱼
2716,鲁
2717,鲈鱼
2718,鲍
2719,鲜
2720,鳞
2721,鸟
2722,鸡
2723,鸣
2724,鸥
2725,鸦
2726,鸳鸯
2727,鸾
2728,鸿
2729,鹄
2730,鹅
2731,鹊
2732,鹤
2733,鹦鹉
2734,鹧鸪
2735,鹭
2736,鹭鸶
2737,鹿
2738,麻姑
2739,黄
2740,黄云
2741,黄叶
2742,黄昏
2743,黄河
2744,黄花
2745,黄莺
2746,黄菊
2747,黄金
2748,黑
2749,黯
2750,鼎
2751,鼓
2752,齐
2753,龄
2754,龙
2755,龙门
2756,龟
